"skills","Key","group","Plant doctors","Extension workers","Agri-dealer employees","Foundation","Practitioner","Advanced","level1","level2","level3","Description"
"Receive criticism and suggestions","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Recognize others' contributions","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Recognizes importance of access to safe water ","WATER MANAGEMENT","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Recognizes the importance of access to safe, accessible, and adequate water for both domestic and agricultural purposes"
"Recommend good farming practices","CROP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Recommend pest management approaches","CROP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Recommend pesticides","CHEMICAL USE","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Recommend seeds and fertilizers","CROP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Recommend soil management approaches","CROP MANAGEMENT","Plant doctors & Extension workers",1,1,0,1,1,0,"Foundation","Practitioner",,
"Recommend value addition options","VALUE CHAIN DEVELOPMENT","Plant doctors & Extension workers",1,1,0,0,1,0,,"Practitioner",,
"Regularly reconcile records","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Reinforce Essential Hygiene Actions (EHA)","WATER MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Reinforces “Essential Hygiene Actions” (EHA), paying particular attention to interactions between agriculture, hygiene and health, and nutrition "
"Respond to changing organization","PROJECT MANAGEMENT","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced",
"Run a plant clinic","CROP DIAGNOSTICS","Plant doctors",1,0,0,1,1,1,"Foundation","Practitioner","Advanced",
"Safely transport inputs","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Sample plants","CROP DIAGNOSTICS","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,
"Seek learning opportunities","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Select training methods","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,0,1,0,,"Practitioner",,
"Sensitized to people's different nutrition needs","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Is sensitized to people's different nutrition needs, determined by sex, age, activity level, health status, pregnancy and lactation"
"Set personal goals","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Supply quality inputs","INPUT SUPPLY","Agri-dealer employees",0,0,1,0,1,0,,"Practitioner",,
"Support value chain development","VALUE CHAIN DEVELOPMENT","Extension workers & agri-dealer employees",0,1,1,0,0,1,,,"Advanced",
"Supports FBO's responsivenes to women/men’s needs ","PARTICIPATORY APPROACHES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Describe the importance of inclusion and equity for effective groups and demonstrate how to structure inclusive and equitable by-laws and other formal rules"
"Tailors information to different target groups ","GENDER","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced","Tailor information about how to access and use different technologies to men and women based on men’s and women’s different roles and responsibilities"
"Treat customers ethically","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Handle customers in an honest and transparent manner without criticism or arguments"
"Undertake basic safety checks","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Use appropriate ICTs","ADVISORY SERVICES","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Understand ICTs, when and how they are appropriate to use"
"Use gender sensitive approaches","GENDER","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Use records to meet expenses","RECORD MANAGEMENT","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced",
"Write evaluation reports","MONITORING AND EVALUATION","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced",
"Write field reports","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,0,1,0,,"Practitioner",,"Document field activities highlighting progress, accomplished tasks and challenges"
"Write for media","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced","Disseminate information such as best practices, innovations, lessons learnt etc through media channels"
"Manage relationships with the media","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced",
"Identify stakeholders to engage in extension programs","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Identify relevant stakeholders, their interests, impact on program design and implementation"
"Manage conflict","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Acknowledge, identify and resolve conflicts"
